,#,Address,File #,Type,Status,Date Issued,Date Closed,Description
49,50,370 Stone Rd W,03 056793 000 00 SS,Sign Permit,Closed,"May 28, 2003","May 28, 2003",Second Building Sign - Chester Fried - Unit 19B
50,51,370 Stone Rd W,04 066445 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 30, 2004","Jun 24, 2004","Interior Finishes to East Side Mario's and New Stucco Cladding Around Entrance.No Plumbing, No HVAC."
51,52,370 Stone Rd W,04 073473 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 15, 2004","Apr 25, 2007","Interior renovations,Unit 18- The Great Canadian BagelNO PLUMBING, NO HVAC --  SEPARATE PERMIT(S) REQUIRED"
52,53,370 Stone Rd W,04 074336 000 00 PS,Special Categories - Building Permit,Closed,"Nov 30, 2004","Jan 29, 2007","Kitchen Exhaust & Plumbing Only, Unit 18 - The Great Canadian Bagel. -370 Stone Rd WSee Permit #04-073473 for Interior Suite Renovations."
53,54,370 Stone Rd W,04 074623 000 00 PH,Mechanical Permit,Closed,"Jan 19, 2005","Dec 20, 2005",HVAC & Plumbing ONLY -(Unit 19B-Red Ginger Restaurant)
54,55,370 Stone Rd W,04 074853 000 00 SS,Sign Permit,Closed,"Dec 16, 2004","Jan 18, 2005",Building sign for The Great Canadian Bagel
55,56,370 Stone Rd W,05 075462 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 19, 2005","May 04, 2005",Interior renovations for new restaurant (Red Ginger) Refer to permit #04-074623 for HVAC and Plumbing
56,57,370 Stone Rd W,05 075518 000 00 SS,Sign Permit,Closed,"Jan 21, 2005","Mar 08, 2005",New building sign -Reitmans (370 Stone Rd. W. Unit 12)
57,58,370 Stone Rd W,05 075709 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 01, 2005","May 20, 2005",Interior renovations (Unit 12)-includes plbg & HVAC -(Reitmans)
58,59,370 Stone Rd W,05 076890 000 00 PR,ICI Renovation - Building Permit,Closed,"Apr 06, 2005","Dec 13, 2005",Interior renovations (includes plbg & HVAC) UNIT 5 - Shoppers Drug Mart (370 Stone Rd. W.)
59,60,370 Stone Rd W,05 076927 000 00 SS,Sign Permit,Closed,"Apr 06, 2005","May 04, 2005",Replace existing building signs - Shoppers Home Health Care
60,61,370 Stone Rd W,05 081061 000 00 SS,Sign Permit,Closed,"Jul 15, 2005","Jan 18, 2006",New building sign (Meridian Credit Union)
61,62,370 Stone Rd W,06 008893 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 04, 2006","Feb 05, 2007","Interior Renovations - Bulk Barn (Units 15 & 16) - 370 Stone Rd W - ( No Plumbing, No HVAC )"
62,63,370 Stone Rd W,07 002134 000 00 PK,Backflow Devices - Building Permit,Closed,"Apr 17, 2007","May 11, 2007","2 Backflow Prevention Devices 2 - 1/2"" RPEast Side Marios"
63,64,370 Stone Rd W,07 003272 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 14, 2007","Oct 09, 2007",Interior Renovations (Unit 5) -(minor HVAC & Plbg)  - LaSenza
64,65,370 Stone Rd W,07 004142 000 00 SS,Sign Permit,Closed,"Jun 28, 2007","Sep 05, 2007",New Building Sign - La Senza Girl (370 Stone Rd W)
65,66,370 Stone Rd W,08 001195 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 18, 2008","Sep 03, 2008","Interior renovations (includes HVAC, no Plbg) - Staples"
66,67,370 Stone Rd W,10 004913 000 00 PS,Special Categories - Building Permit,Closed,"Aug 09, 2010","Sep 09, 2010",Construct Demising Wall Between Units 9 & 10.  Rough-In 2-Pc. Washroom in Unit 9.  Includes Plumbing.
67,68,370 Stone Rd W,10 005625 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 13, 2010","Jan 03, 2011",Interior Finishes ( Includes Plumbing & Minor HVAC ) Unit 9 - Popeye's Supplements.
68,69,370 Stone Rd W,10 007411 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 01, 2010","Dec 13, 2010","Interior Renovations - Expand into adjacent unit - Unit 10/11 ( Includes HVAC, No Plumbing ) - Sleep Country."
69,70,370 Stone Rd W,10 007547 000 00 SS,Sign Permit,Closed,"Nov 12, 2010","Feb 11, 2011",Building sign for Popeye's Supplements
70,71,370 Stone Rd W,11 002415 000 00 PS,Special Categories - Building Permit,Closed,"Jun 20, 2011","Nov 02, 2011",Re-cladding on the front facade and canopy (EIFS)
71,72,370 Stone Rd W,11 004548 000 00 SS,Sign Permit,Closed,"Aug 03, 2011","Nov 01, 2011",Building Sign for First Choice Haircutters
72,73,370 Stone Rd W,11 006766 000 00 SS,Sign Permit,Closed,"Sep 21, 2011","Dec 22, 2011",New Building Sign - Meridian Credit Union (Unit 8)
73,74,370 Stone Rd W,11 006768 000 00 SS,Sign Permit,Closed,"Sep 21, 2011","Dec 22, 2011",New Building Sign - Stone Square Dental (Unit 14)
74,75,370 Stone Rd W,11 007099 000 00 SS,Sign Permit,Closed,"Sep 27, 2011","Jan 03, 2012",Building Sign for Penningtons.
75,76,370 Stone Rd W,12 009845 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 02, 2012","Mar 01, 2013",Interior demolition & new finishes (includes Minor Plbg & HVAC)-Unit 5-Dollarama
76,77,370 Stone Rd W,12 011015 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 31, 2012","Apr 19, 2013",Interior Renovations - Expand into adjacent unit - Unit 13/14 ( Includes HVAC & Plumbing ) - Dental Office
77,78,370 Stone Rd W,12 014678 000 00 SS,Sign Permit,Closed,"Nov 01, 2012","Feb 21, 2013",Building Sign for Dollarama
78,79,370 Stone Rd W,12 017594 000 00 SS,Sign Permit,Closed,"Dec 18, 2012","Mar 18, 2013",Building Sign for Stone Square Dental
79,80,370 Stone Rd W,13 002815 000 00 PR,ICI Renovation - Building Permit,Closed,"May 07, 2013","Aug 22, 2013","Interior Renovation (includes Plbg, No HVAC) Units 1&2-East Side Mario's"
80,81,370 Stone Rd W,13 005791 000 00 SS,Sign Permit,Closed,"Jul 24, 2013","Oct 22, 2013",Building Sign for East Side Mario's
81,82,370 Stone Rd W,13 006786 000 00 PH,Mechanical Permit,Closed,"Jul 04, 2013","Sep 25, 2013","3 Backflow Prevention Devices - three 1/2"" backflow preventers in Units 1,2 & 19"
82,83,370 Stone Rd W,14 005603 000 00 CI,Property Inspection,Closed,"Jun 30, 2014","Jan 29, 2015",Golden Basil
83,84,370 Stone Rd W,14 005682 000 00 CI,Property Inspection,Closed,"Jul 02, 2014","Apr 13, 2017",possible work carried  out without required building permit
84,85,370 Stone Rd W,14 010934 000 00 SS,Sign Permit,Closed,"Dec 10, 2014","Feb 01, 2016",Install New Channel Letters & Line
85,86,370 Stone Rd W,15 003588 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 12, 2015","Nov 30, 2015",Interior Renovations (Incl. HVAC & Plbg.) (Unit 8)- Credit Union
86,87,370 Stone Rd W,15 004061 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 25, 2015","Oct 14, 2015",Interior Renovations (Incl. HVAC & Plbg.) (Unit 12- Mastermind Toys)
87,88,370 Stone Rd W,15 006010 000 00 SS,Sign Permit,Closed,"Aug 07, 2015","Aug 07, 2015",Permanent Building Sign
88,89,370 Stone Rd W,15 009647 000 00 PS,Special Categories - Building Permit,Closed,"Dec 21, 2015","Mar 27, 2017",Alterations to existing Fire Alarm system - Unit 20 Staples
89,90,370 Stone Rd W,17 004517 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 03, 2017","Oct 30, 2017","Interior Renovations - Unit 10/11 ( No HVAC, No Plumbing ) - Sleep Country."
90,91,370 Stone Rd W,18 007929 000 00 SS,Sign Permit,Issued,"Dec 04, 2018",2 Menu Signs - McDonalds,
91,92,370 Stone Rd W,19 005963 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 27, 2019","Feb 25, 2020",Construct Demising wall to create two commercial units (Incl HVAC/PLG)
92,93,370 Stone Rd W,19 007191 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 12, 2019","Feb 19, 2020",Interior renovation (Incl HVAC/PLG) - Pet Valu.
93,94,370 Stone Rd W,19 008385 000 00 SS,Sign Permit,Issued,"Jan 22, 2020",1 Building Sign - Pet Valu,
94,95,370 Stone Rd W,20 001512 000 00 PR,ICI Renovation - Building Permit,Closed,"Jun 11, 2020","Aug 13, 2020",Interior Renovation (Includes HVAC / No Plumbing) - Buds Cannabis.
95,96,370 Stone Rd W,20 004073 000 00 SS,Sign Permit,Issued,"Oct 09, 2020",1 Building Sign - Bud's Cannabis Store,
96,97,370 Stone Rd W,21 003351 000 00 PR,ICI Renovation - Building Permit,Issued,"Sep 01, 2021",Interior/Exterior Alterations (Incl. HVAC/PLG) - Farm Boy Grocery Store (Bldg E),
97,98,370 Stone Rd W,21 005199 000 00 PH,Mechanical Permit,Closed,"Aug 30, 2021","Nov 04, 2021","premise isolation for Staples 2"" backflow DCVA to line to new Farm Boy. Prepipe occurring on August 23, not tying in until Sept 1 2021"
98,99,370 Stone Rd W,21 006289 000 00 SS,Sign Permit,Closed,"Jan 03, 2022","Mar 04, 2022",3 Building Signs - Farm Boy
99,100,370 Stone Rd W,21 007397 000 00 BPR,ICI Renovation,Complete,"Mar 18, 2022","Aug 02, 2022",Interior Alterations (Incl. HVAC & PLBG) (Unit 19)
100,101,370 Stone Rd W,22 001331 000 00 SS,Sign Permit,Issued,"Jun 06, 2022",1 Building Sign - Pur & Simple,
101,102,370 Stone Rd W,22 001676 000 00 BPR,ICI Renovation,Issued,"May 09, 2022",New demising wall splitting existing unit (Unit 15/16) to separate/create new unit (Unit 15) (Incl. HVAC & PLBG),
102,103,370 Stone Rd W,22 002072 000 00 SS,Sign Permit,Issued,"May 16, 2022",1 Building Sign - Farm Boy,
103,104,370 Stone Rd W,22 004514 000 00 CI,Property Inspection,Issued,"Aug 11, 2022",Liquor License Letter.,
0,1,124 Clair Rd E,13 006854 000 00 PF,ICI Foundation - Building Permit,Superceded,"Aug 30, 2013",FOUNDATION ONLY (Includes u/g plbg. & Site Services) - Zehrs Market,
1,2,124 Clair Rd E,13 006854 001 00 PN,ICI New Building - Building Permit,Closed,"Oct 03, 2013","Jun 04, 2014",New 1 Storey Retail Building (Incl. HVAC & Plbg.) - Zehrs Market
2,3,124 Clair Rd E,13 012878 000 00 CA,Committee of Adjustment,Closed,"Feb 04, 2014",Approved - Outdoor sales and display area occupying required parking spaces (garden centre),
3,4,124 Clair Rd E,13 012986 000 00 SS,Sign Permit,Closed,"Jan 21, 2014","Feb 01, 2016",Building Sign for Zehrs
4,5,124 Clair Rd E,14 002143 000 00 PS,Special Categories - Building Permit,Closed,"Apr 28, 2014","Nov 03, 2014","2-Peak Enclosed Tent (18'x32') & Shade Structures (2- 43'x32').-Garden Centre- Zehrs ( April 15 - July 15, 2014 )"
5,6,124 Clair Rd E,14 006323 000 00 CC,Committee Of Adjustment - Consent,Closed,"Feb 29, 2016",Consent for a severance (new commercial lot),
6,7,124 Clair Rd E,14 006337 000 00 CA,Committee of Adjustment,Open,Variance for reduced lot frontage for new proposed commercial lot (File B-21/14),,
7,8,124 Clair Rd E,14 008391 000 00 CA,Committee of Adjustment,Open,Variance to permit temporary real estate sales office,,
8,9,124 Clair Rd E,15 001982 000 00 PS,Special Categories - Building Permit,Closed,"Apr 02, 2015","Apr 21, 2015","2-Peak Enclosed Tent (18'x32') & Shade Structures (2- 43'x32').-Garden Centre- Zehrs ( April 15 - July 15, 2015 )"
9,10,124 Clair Rd E,15 004955 000 00 PH,Mechanical Permit,Closed,"Jun 23, 2015","Aug 10, 2015",15 Backflow Prevention Devices -Zehrs
10,11,124 Clair Rd E,15 009104 000 00 CA,Committee of Adjustment,Open,"Approved - Off-Street parking variance, and street line setback variances",,
11,12,124 Clair Rd E,16 001787 000 00 PS,Special Categories - Building Permit,Closed,"Apr 18, 2016","Jul 21, 2016","2-Peak Enclosed Tent (18'x32') & Shade Structures (2- 43'x32')-- Zehrs Garden Centre ( April 15 - July 15, 2016 )"
12,13,124 Clair Rd E,16 003953 000 00 PS,Special Categories - Building Permit,Closed,"Jun 15, 2016","Apr 24, 2017",Re-clad partial facade - Zehrs Market
13,14,124 Clair Rd E,16 006909 000 00 SS,Sign Permit,Closed,"Apr 26, 2017","Nov 10, 2017",freestanding sign - Choice Properties
14,15,124 Clair Rd E,16 008814 000 00 SS,Sign Permit,Closed,"Apr 07, 2017","Mar 30, 2022",Sign By-law Variance - freestanding sign - Choice Properties
15,16,124 Clair Rd E,17 000974 000 00 PS,Special Categories - Building Permit,Closed,"Mar 10, 2017","Apr 27, 2017","3-Peak Enclosed Tent & Shade Structures (2)-- Zehrs Garden Centre ( April 15 - July 15, 2017 )"
16,17,124 Clair Rd E,18 001568 000 00 PS,Special Categories - Building Permit,Closed,"Apr 03, 2018","Sep 11, 2018",Temporary tent for seasonal garden centre (April 15 - July15) - Zehrs Markets
17,18,124 Clair Rd E,19 001481 000 00 PS,Special Categories - Building Permit,Closed,"Apr 01, 2019","Aug 29, 2019",Temporary tent for seasonal garden centre (April 15 - July15) - Zehrs Markets
18,19,124 Clair Rd E,20 001523 000 00 PS,Special Categories - Building Permit,Closed,"Apr 15, 2020","Apr 24, 2020",Temporary tent for seasonal garden centre (April 15 to August 9)
19,20,124 Clair Rd E,20 006520 000 00 PH,Mechanical Permit,Closed,"Nov 26, 2020","Jan 25, 2021","Installation of one 1/2"" SRPVB BFP on chemical cart - butcher department"
20,21,124 Clair Rd E,21 000758 000 00 PS,Special Categories - Building Permit,Closed,"Mar 11, 2021","Sep 09, 2021",Temporary tent for a seasonal garden centre (April 15 to July 15)
21,22,124 Clair Rd E,21 005562 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 07, 2021","May 16, 2022","New Screen walls for Roof & Loading dock area (No HVAC, No PLBG) -Zehrs"
22,23,124 Clair Rd E,22 001163 000 00 BSC,Special Category,Issued,"Apr 26, 2022","Temporary tents for a seasonal garden centre (April 15 to July 15, 2022)",
0,1,85 Clairfields Dr W,03 057583 000 00 RC,Residential New Dwelling - Building Permit,Closed,"Jun 12, 2003","May 16, 2006","One Storey Detached Dwelling(no deck, no basement finishes)"
1,2,85 Clairfields Dr W,06 005940 000 00 RD,Residential Deck - Building Permit,Closed,"Aug 14, 2006","Nov 08, 2006","Rear Yard Deck ( 24'-0"" x 16'-0"" ) - w/ Stairs - 3'-4"" Above Grade."
2,3,85 Clairfields Dr W,11 000947 000 00 RB,Residential Basement Finishes - Building Permit,Closed,"Mar 08, 2011","Apr 14, 2011","Basement Finishes ( 815 ft² ) - Family Room, Bedroom, 3-Pc. Bathroom.  Includes Plumbing."
0,1,85 Clairfields Dr W,03 057583 000 00 RC,Residential New Dwelling - Building Permit,Closed,"Jun 12, 2003","May 16, 2006","One Storey Detached Dwelling(no deck, no basement finishes)"
1,2,85 Clairfields Dr W,06 005940 000 00 RD,Residential Deck - Building Permit,Closed,"Aug 14, 2006","Nov 08, 2006","Rear Yard Deck ( 24'-0"" x 16'-0"" ) - w/ Stairs - 3'-4"" Above Grade."
2,3,85 Clairfields Dr W,11 000947 000 00 RB,Residential Basement Finishes - Building Permit,Closed,"Mar 08, 2011","Apr 14, 2011","Basement Finishes ( 815 ft² ) - Family Room, Bedroom, 3-Pc. Bathroom.  Includes Plumbing."
0,1,85 Clairfields Dr W,03 057583 000 00 RC,Residential New Dwelling - Building Permit,Closed,"Jun 12, 2003","May 16, 2006","One Storey Detached Dwelling(no deck, no basement finishes)"
1,2,85 Clairfields Dr W,06 005940 000 00 RD,Residential Deck - Building Permit,Closed,"Aug 14, 2006","Nov 08, 2006","Rear Yard Deck ( 24'-0"" x 16'-0"" ) - w/ Stairs - 3'-4"" Above Grade."
2,3,85 Clairfields Dr W,11 000947 000 00 RB,Residential Basement Finishes - Building Permit,Closed,"Mar 08, 2011","Apr 14, 2011","Basement Finishes ( 815 ft² ) - Family Room, Bedroom, 3-Pc. Bathroom.  Includes Plumbing."
0,1,85 Clairfields Dr W,03 057583 000 00 RC,Residential New Dwelling - Building Permit,Closed,"Jun 12, 2003","May 16, 2006","One Storey Detached Dwelling(no deck, no basement finishes)"
1,2,85 Clairfields Dr W,06 005940 000 00 RD,Residential Deck - Building Permit,Closed,"Aug 14, 2006","Nov 08, 2006","Rear Yard Deck ( 24'-0"" x 16'-0"" ) - w/ Stairs - 3'-4"" Above Grade."
2,3,85 Clairfields Dr W,11 000947 000 00 RB,Residential Basement Finishes - Building Permit,Closed,"Mar 08, 2011","Apr 14, 2011","Basement Finishes ( 815 ft² ) - Family Room, Bedroom, 3-Pc. Bathroom.  Includes Plumbing."
0,1,20 Clair Rd W,17 000872 000 00 PN,ICI New Building - Building Permit,Closed,"Jun 07, 2017","Sep 06, 2018","Commercial Shell Incl. Demising Walls, Plbg (No W/R R/I's) and HVAC (RTU's and Mech. Rm. Only) - Bldg B4"
1,2,20 Clair Rd W,17 005979 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 22, 2017","Mar 21, 2018",Tenant Finishes (Incl. HVAC & Plbg.) - Great Clips Hair Salon - Unit 5
2,3,20 Clair Rd W,17 006169 000 00 PR,ICI Renovation - Building Permit,Closed,"Sep 20, 2017","Feb 05, 2018",Tenant Finishes (Incl. HVAC & Plbg.) - Studio SO Lara Guelph (Hair Salon) - Unit 7
3,4,20 Clair Rd W,17 007384 000 00 SS,Sign Permit,Closed,"Dec 22, 2017","Feb 06, 2018",Building Sign - Great Clips
4,5,20 Clair Rd W,17 007633 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 20, 2017","May 25, 2018",Tenant Finishes (Include HVAC & Plbg.) - Gioia Spa (Nail Salon) - Unit 8
5,6,20 Clair Rd W,17 007922 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 18, 2017","Mar 14, 2018",Tenant Finishes (Include HVAC & Plbg.) - Cobs Bread (Store and Bakery) - Unit 2
6,7,20 Clair Rd W,17 007958 000 00 SS,Sign Permit,Closed,"Jan 05, 2018","Mar 07, 2018",2 Building Signs - Cobs Bread
7,8,20 Clair Rd W,17 008001 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 18, 2017","Apr 18, 2018",Tenant Finishes (Include HVAC & Plbg.) - Chocolats Favoris - Unit 1
8,9,20 Clair Rd W,17 008127 000 00 SS,Sign Permit,Closed,"Jan 05, 2018","Feb 06, 2018",2 Building Signs - Studio So Lara
9,10,20 Clair Rd W,18 000207 000 00 SS,Sign Permit,Closed,"Jan 23, 2018","Mar 07, 2018",3 Building Signs - Easy Financial
10,11,20 Clair Rd W,18 000626 000 00 SS,Sign Permit,Closed,"Mar 12, 2018","Apr 10, 2018",2 Building Signs - Gioia Beauty Spa
11,12,20 Clair Rd W,18 000933 000 00 SS,Sign Permit,Closed,"Mar 16, 2018","May 03, 2018",4 Building Signs - Chocolats Favoris
12,13,20 Clair Rd W,18 002182 000 00 PR,ICI Renovation - Building Permit,Closed,"May 08, 2018","Nov 16, 2018",Interior fit out - Five Guys ( Incl. HVAC and Plbg)
13,14,20 Clair Rd W,18 005961 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 04, 2018","Nov 14, 2018",Interior Renovations - Unit B4-4 Mobile Klinik
14,15,20 Clair Rd W,18 007188 000 00 SS,Sign Permit,Issued,"Nov 02, 2018",4 Building Signs - Five Guys,
15,16,20 Clair Rd W,18 007288 000 00 SS,Sign Permit,Issued,"Dec 14, 2018",2 Building Signs - Mobile Klinik,
16,17,20 Clair Rd W,19 000136 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 04, 2019","May 01, 2019",Tenant finish - Smoke and Gift Shop (B-4 Unit 6) (including hvac and plumbing)
17,18,20 Clair Rd W,19 000963 000 00 SS,Sign Permit,Closed,"May 10, 2019","Jan 02, 2022",2 Building Signs - RC Smoke Gifts
18,19,20 Clair Rd W,19 001438 000 00 PR,ICI Renovation - Building Permit,Closed,"Apr 12, 2019","Dec 17, 2019",Interior Alteration  Pita Land restaurant-  Bldg B4 Unit 3
19,20,20 Clair Rd W,19 002973 000 00 SS,Sign Permit,Issued,"Jun 19, 2019",2 Building Signs - Pita Land,
20,21,20 Clair Rd W,21 006858 000 00 SS,Sign Permit,Issued,"Jul 27, 2022","2 Building Signs, 1 Freestanding sign reface - Mobile Klinik",
0,1,3 Clair Rd W,06 007515 000 00 PN,ICI New Building - Building Permit,Closed,"Nov 02, 2006","Jul 16, 2007",New Food Basics Grocery Store  ( Include Plumbings & HVAC and revised Site Servicing.)  Bldg C
1,2,3 Clair Rd W,07 001672 000 00 SS,Sign Permit,Closed,"Mar 30, 2007","May 09, 2007",New Fascia Signs (Food Basics)
2,3,3 Clair Rd W,12 003883 000 00 PH,Mechanical Permit,Closed,"Apr 18, 2012","May 15, 2012","1 Backflow Prevention Device 1/2"" RP - Chemical Feeder slop sink - Food Basics"
3,4,3 Clair Rd W,13 000323 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 05, 2013","Mar 11, 2013",Interior renovations for new BBQ Chicken prep area & new kitchen exhaust system (includes Minor Plbg. & HVAC)-  Food Basics
4,5,3 Clair Rd W,14 005928 000 00 SS,Sign Permit,Closed,"Jul 11, 2014","Sep 25, 2014",Building Signs - Food Basics
5,6,3 Clair Rd W,17 005737 000 00 PH,Mechanical Permit,Closed,"Aug 22, 2017","Aug 23, 2017","1 Backflow Prevention Device - 1/2"" RP on chemical dispenser in Poultry area"
6,7,3 Clair Rd W,22 001074 000 00 SS,Sign Permit,Issued,"Mar 25, 2022",1 Building Sign - Food Basics,
0,1,3 Clair Rd W,06 007515 000 00 PN,ICI New Building - Building Permit,Closed,"Nov 02, 2006","Jul 16, 2007",New Food Basics Grocery Store  ( Include Plumbings & HVAC and revised Site Servicing.)  Bldg C
1,2,3 Clair Rd W,07 001672 000 00 SS,Sign Permit,Closed,"Mar 30, 2007","May 09, 2007",New Fascia Signs (Food Basics)
2,3,3 Clair Rd W,12 003883 000 00 PH,Mechanical Permit,Closed,"Apr 18, 2012","May 15, 2012","1 Backflow Prevention Device 1/2"" RP - Chemical Feeder slop sink - Food Basics"
3,4,3 Clair Rd W,13 000323 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 05, 2013","Mar 11, 2013",Interior renovations for new BBQ Chicken prep area & new kitchen exhaust system (includes Minor Plbg. & HVAC)-  Food Basics
4,5,3 Clair Rd W,14 005928 000 00 SS,Sign Permit,Closed,"Jul 11, 2014","Sep 25, 2014",Building Signs - Food Basics
5,6,3 Clair Rd W,17 005737 000 00 PH,Mechanical Permit,Closed,"Aug 22, 2017","Aug 23, 2017","1 Backflow Prevention Device - 1/2"" RP on chemical dispenser in Poultry area"
6,7,3 Clair Rd W,22 001074 000 00 SS,Sign Permit,Issued,"Mar 25, 2022",1 Building Sign - Food Basics,
0,1,35 Harvard Rd,84 020539 000 00 PR,ICI Renovation - Building Permit,Closed,"Nov 08, 1984","Dec 27, 2000",Body Secret
1,2,35 Harvard Rd,89 031948 000 00 PT,Tenant Finishes - Building Permit,Closed,"Nov 10, 1989","Mar 04, 1999",Interior Renovations - Handicapped Washroom
2,3,35 Harvard Rd,92 001144 000 00 PA,ICI Addition - Building Permit,Closed,"Jul 10, 1992","Jun 04, 1996",3 Steel Towers To Corner Of Building
3,4,35 Harvard Rd,92 001206 000 00 SS,Sign Permit,Closed,"Jul 08, 1992","Dec 01, 1993",Altering A Freestanding Ground Sign
4,5,35 Harvard Rd,92 001342 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 18, 1992","Mar 06, 1996",Interior Alterations To Unit For Variety Store-Harvard Convenience
5,6,35 Harvard Rd,92 001697 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 07, 1992","Sep 25, 1992","Instal , Hand Basin, & Kitchen Sink Unit 11, Block C"
6,7,35 Harvard Rd,92 001705 000 00 PT,Tenant Finishes - Building Permit,Closed,"Oct 14, 1992","Oct 26, 2018",Interior Alterations - Unit 10; Honeybear Coffee & Donuts (presently World's 2 for1 pizza)
7,8,35 Harvard Rd,93 000447 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 30, 1993","May 07, 1993",Interior Partitions Unit 4-paramount Ski & Sport
8,9,35 Harvard Rd,93 001488 000 00 SS,Sign Permit,Closed,"Dec 09, 1993","Dec 10, 1993",Fascia Sign No Frills Food Store
9,10,35 Harvard Rd,93 001565 000 00 PR,ICI Renovation - Building Permit,Closed,"Oct 20, 1993","Mar 05, 1999",Interior Alterations No Frills Grocery Store
10,11,35 Harvard Rd,93 001926 000 00 PR,ICI Renovation - Building Permit,Closed,"Dec 20, 1993","Feb 15, 1994",Interior Alterations-expand Into Unit 1a Portly Penguin
11,12,35 Harvard Rd,94 000116 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 16, 1994","Oct 23, 1996",Interior Alterations -unit 13 The Green Eyed Cricket(coffee & Gifts)
12,13,35 Harvard Rd,94 000202 000 00 PP,Plumbing Permit,Closed,"Mar 15, 1994","Nov 25, 1994",Install Double Sink And Hand Basin Unit 19 -baker's Oven-plus
13,14,35 Harvard Rd,94 001185 000 00 PN,ICI New Building - Building Permit,Closed,"Nov 23, 1994","May 24, 1996",Telecommunications Building
14,15,35 Harvard Rd,95 000320 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 17, 1995","Apr 28, 1999","1 Hand Sink, 1 Double Sink"
15,16,35 Harvard Rd,97 036939 000 00 PR,ICI Renovation - Building Permit,Closed,"Jan 23, 1997","May 15, 1998",Interior Renovations & bar sink (Financial Office) (New diffusers and branch ducts included)
16,17,35 Harvard Rd,97 038091 000 00 PN,ICI New Building - Building Permit,Closed,"Feb 25, 1997","Jun 06, 1997",Construct New Outdoor Patio 12' x 42 'Shakespeares Arms
17,18,35 Harvard Rd,97 038553 000 00 SS,Sign Permit,Closed,"Mar 13, 1997","Jun 12, 1997",Building sign for Campus IDA Drugmart located on rear wall of unit
18,19,35 Harvard Rd,97 042495 000 00 PR,ICI Renovation - Building Permit,Closed,"Aug 11, 1997","Jan 21, 1998",Repair/replace loading dock roof - No Frills grocery store
19,20,35 Harvard Rd,98 100432 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 10, 1998","Apr 08, 1998",Interior Renovations & Grease Hood - Unit #12 - Good Taste Chinese Restaurant (includes Plbg & Htg) - DRAWINGS NOT RETAINED (FEB. 02)
20,21,35 Harvard Rd,98 101136 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 05, 1998","Sep 24, 1998","World's Pizza - Partition wall, sinks and exhaust ventilation"
21,22,35 Harvard Rd,98 101574 000 00 SS,Sign Permit,Closed,"Mar 06, 1998","Jan 28, 2002",Buidling sign for the north wall of No Frills
22,23,35 Harvard Rd,98 102456 000 00 SS,Sign Permit,Closed,"Apr 01, 1998","Aug 02, 2001",Building sign for Campus Estates located on the north wall of No Frills
23,24,35 Harvard Rd,99 003924 000 00 PR,ICI Renovation - Building Permit,Closed,"Feb 24, 1999","Apr 28, 1999",Partitions wall & Grease Hood - Unit 10; World's Pizza
24,25,35 Harvard Rd,99 004512 000 00 PR,ICI Renovation - Building Permit,Closed,"Mar 10, 1999","Apr 11, 2000",Interior Alterations To Create 4 Units (formerly TD Bank)- incl htg and plbg - DRAWINGS NOT RETAINED - Feb. /02
25,26,35 Harvard Rd,99 005034 000 00 PR,ICI Renovation - Building Permit,Closed,"Apr 19, 1999","Nov 06, 2012","Interior Renovation for Doctors Office; Unit 19(includes plbg, no htg) - DRAWINGS NOT RETAINED - Feb. /02"
26,27,35 Harvard Rd,99 005757 000 00 PK,Backflow Devices - Building Permit,Closed,"Apr 12, 1999","Apr 14, 2000",2 Backflow Preventors - Electrical Room #2
